DATE;CAP;COUNT;DELTA
[2021, 7, 7, 20, 29, 4];450;191;259
[2021, 7, 7, 20, 48, 54];450;187;263
[2021, 7, 7, 20, 49, 53];450;186;264
[2021, 7, 7, 20, 49, 57];450;187;263
[2021, 7, 7, 21, 3, 10];450;183;267
[2021, 7, 7, 21, 3, 13];450;184;266
[2021, 7, 7, 21, 3, 22];450;185;265
[2021, 7, 7, 21, 5, 32];450;184;266
[2021, 7, 7, 21, 6, 1];450;183;267
[2021, 7, 7, 21, 6, 59];450;182;268
[2021, 7, 7, 21, 7, 15];450;181;269
[2021, 7, 7, 21, 7, 19];450;180;270
[2021, 7, 7, 21, 7, 21];450;179;271
[2021, 7, 7, 21, 7, 28];450;180;270
[2021, 7, 7, 21, 7, 32];450;181;269
[2021, 7, 7, 21, 7, 37];450;182;268
[2021, 7, 7, 21, 7, 39];450;181;269
[2021, 7, 7, 21, 8, 30];450;180;270
[2021, 7, 7, 21, 9, 9];450;181;269
[2021, 7, 7, 21, 10, 20];450;182;268
[2021, 7, 7, 21, 10, 38];450;183;267
[2021, 7, 7, 21, 10, 41];450;184;266
[2021, 7, 7, 21, 11, 37];450;185;265
[2021, 7, 7, 21, 12, 59];450;186;264
[2021, 7, 7, 21, 15, 14];450;187;263
[2021, 7, 7, 21, 15, 34];450;188;262
[2021, 7, 7, 21, 15, 39];450;189;261
[2021, 7, 7, 21, 15, 43];450;190;260
[2021, 7, 7, 21, 15, 47];450;191;259
[2021, 7, 7, 21, 15, 50];450;192;258
[2021, 7, 7, 21, 15, 52];450;191;259
[2021, 7, 7, 21, 16, 17];450;190;260
[2021, 7, 7, 21, 17, 21];450;189;261
[2021, 7, 7, 21, 18, 47];450;188;262
[2021, 7, 7, 21, 19, 12];450;189;261
[2021, 7, 7, 21, 19, 14];450;190;260
[2021, 7, 7, 21, 20, 23];450;189;261
[2021, 7, 7, 21, 20, 32];450;188;262
[2021, 7, 7, 21, 21, 32];450;187;263
[2021, 7, 7, 21, 21, 42];450;188;262
[2021, 7, 7, 21, 22, 6];450;187;263
[2021, 7, 7, 21, 22, 58];450;186;264
[2021, 7, 7, 21, 23, 2];450;185;265
[2021, 7, 7, 21, 23, 6];450;184;266
[2021, 7, 7, 21, 23, 18];450;183;267
[2021, 7, 7, 21, 23, 52];450;184;266
[2021, 7, 7, 21, 23, 56];450;183;267
[2021, 7, 7, 21, 24, 5];450;182;268
[2021, 7, 7, 21, 24, 32];450;183;267
[2021, 7, 7, 21, 24, 45];450;184;266
[2021, 7, 7, 21, 25, 52];450;183;267
[2021, 7, 7, 21, 26, 55];450;182;268
[2021, 7, 7, 21, 27, 22];450;183;267
[2021, 7, 7, 21, 31, 9];450;182;268
[2021, 7, 7, 21, 31, 13];450;181;269
[2021, 7, 7, 21, 32, 5];450;180;270
[2021, 7, 7, 21, 32, 9];450;179;271
[2021, 7, 7, 21, 33, 10];450;178;272
[2021, 7, 7, 21, 34, 19];450;177;273
[2021, 7, 7, 21, 34, 26];450;178;272
[2021, 7, 7, 21, 34, 31];450;177;273
[2021, 7, 7, 21, 36, 43];450;178;272
[2021, 7, 7, 21, 37, 27];450;177;273
[2021, 7, 7, 21, 37, 36];450;176;274
[2021, 7, 7, 21, 38, 30];450;175;275
[2021, 7, 7, 21, 40, 54];450;174;276
[2021, 7, 7, 21, 43, 44];450;175;275
[2021, 7, 7, 21, 44, 38];450;174;276
[2021, 7, 7, 21, 47, 16];450;173;277
[2021, 7, 7, 21, 47, 25];450;172;278
[2021, 7, 7, 21, 49, 34];450;171;279
[2021, 7, 7, 21, 50, 10];450;172;278
[2021, 7, 7, 21, 50, 15];450;171;279
[2021, 7, 7, 21, 50, 24];450;170;280
[2021, 7, 7, 21, 52, 41];450;169;281
[2021, 7, 7, 21, 53, 8];450;168;282
[2021, 7, 7, 21, 53, 41];450;167;283
[2021, 7, 7, 21, 54, 24];450;166;284
[2021, 7, 7, 21, 54, 28];450;165;285
[2021, 7, 7, 21, 54, 33];450;164;286
[2021, 7, 7, 21, 54, 53];450;163;287
[2021, 7, 7, 21, 55, 0];450;162;288
[2021, 7, 7, 21, 55, 45];450;161;289
[2021, 7, 7, 21, 56, 11];450;160;290
[2021, 7, 7, 21, 57, 7];450;161;289
[2021, 7, 7, 21, 57, 35];450;160;290
[2021, 7, 7, 21, 58, 51];450;159;291
[2021, 7, 7, 21, 59, 0];450;158;292
[2021, 7, 7, 21, 59, 7];450;157;293
[2021, 7, 7, 21, 59, 9];450;158;292
[2021, 7, 7, 21, 59, 18];450;159;291
[2021, 7, 7, 21, 59, 22];450;160;290
[2021, 7, 7, 22, 1, 17];450;159;291
[2021, 7, 7, 22, 1, 35];450;158;292
[2021, 7, 7, 22, 1, 37];450;157;293
[2021, 7, 7, 22, 2, 3];450;158;292
[2021, 7, 7, 22, 2, 30];450;157;293
[2021, 7, 7, 22, 2, 33];450;158;292
[2021, 7, 7, 22, 2, 37];450;157;293
[2021, 7, 7, 22, 2, 58];450;156;294
[2021, 7, 7, 22, 3, 4];450;155;295
[2021, 7, 7, 22, 3, 42];450;154;296
[2021, 7, 7, 22, 3, 44];450;153;297
[2021, 7, 7, 22, 3, 47];450;152;298
[2021, 7, 7, 22, 4, 12];450;153;297
[2021, 7, 7, 22, 4, 39];450;154;296
[2021, 7, 7, 22, 4, 58];450;153;297
[2021, 7, 7, 22, 5, 10];450;152;298
[2021, 7, 7, 22, 6, 3];450;153;297
[2021, 7, 7, 22, 7, 13];450;152;298
[2021, 7, 7, 22, 7, 22];450;151;299
[2021, 7, 7, 22, 8, 29];450;150;300
[2021, 7, 7, 22, 8, 43];450;149;301
[2021, 7, 7, 22, 9, 48];450;148;302
[2021, 7, 7, 22, 16, 50];450;147;303
[2021, 7, 7, 22, 17, 10];450;146;304
[2021, 7, 7, 22, 18, 55];450;145;305
[2021, 7, 7, 22, 19, 18];450;144;306
[2021, 7, 7, 22, 19, 51];450;145;305
[2021, 7, 7, 22, 21, 1];450;146;304
[2021, 7, 7, 22, 21, 53];450;145;305
[2021, 7, 7, 22, 22, 1];450;144;306
[2021, 7, 7, 22, 22, 13];450;143;307
[2021, 7, 7, 22, 23, 22];450;142;308
[2021, 7, 7, 22, 23, 49];450;141;309
[2021, 7, 7, 22, 24, 54];450;140;310
[2021, 7, 7, 22, 26, 58];450;139;311
[2021, 7, 7, 22, 28, 36];450;138;312
[2021, 7, 7, 22, 29, 15];450;137;313
[2021, 7, 7, 22, 30, 9];450;136;314
[2021, 7, 7, 22, 33, 30];450;135;315
[2021, 7, 7, 22, 33, 31];450;134;316
[2021, 7, 7, 22, 33, 37];450;133;317
[2021, 7, 7, 22, 35, 23];450;132;318
[2021, 7, 7, 22, 35, 32];450;131;319
[2021, 7, 7, 22, 36, 21];450;130;320
[2021, 7, 7, 22, 36, 27];450;129;321
[2021, 7, 7, 22, 36, 30];450;128;322
[2021, 7, 7, 22, 36, 34];450;127;323
[2021, 7, 7, 22, 36, 43];450;126;324
[2021, 7, 7, 22, 36, 46];450;125;325
[2021, 7, 7, 22, 37, 13];450;124;326
[2021, 7, 7, 22, 37, 15];450;123;327
[2021, 7, 7, 22, 44, 7];450;124;326
[2021, 7, 7, 22, 45, 42];450;123;327
[2021, 7, 7, 22, 45, 44];450;122;328
[2021, 7, 7, 22, 46, 11];450;121;329
[2021, 7, 7, 22, 46, 16];450;120;330
[2021, 7, 7, 22, 46, 38];450;119;331
[2021, 7, 7, 22, 46, 42];450;118;332
[2021, 7, 7, 22, 46, 49];450;117;333
[2021, 7, 7, 22, 47, 43];450;116;334
[2021, 7, 7, 22, 48, 50];450;115;335
[2021, 7, 7, 22, 49, 19];450;114;336
[2021, 7, 7, 22, 50, 54];450;115;335
[2021, 7, 7, 22, 52, 52];450;114;336
[2021, 7, 7, 22, 53, 53];450;113;337
[2021, 7, 7, 22, 54, 15];450;114;336
[2021, 7, 7, 22, 55, 30];450;113;337
[2021, 7, 7, 22, 56, 19];450;112;338
[2021, 7, 7, 22, 57, 38];450;111;339
[2021, 7, 7, 22, 58, 49];450;110;340
[2021, 7, 7, 22, 59, 20];450;109;341
[2021, 7, 7, 22, 59, 47];450;108;342
[2021, 7, 7, 23, 0, 41];450;107;343
[2021, 7, 7, 23, 3, 15];450;106;344
[2021, 7, 7, 23, 3, 21];450;105;345
[2021, 7, 7, 23, 4, 24];450;104;346
[2021, 7, 7, 23, 4, 42];450;103;347
[2021, 7, 7, 23, 4, 53];450;102;348
[2021, 7, 7, 23, 5, 20];450;101;349
[2021, 7, 7, 23, 6, 43];450;100;350
[2021, 7, 7, 23, 8, 49];450;99;351
[2021, 7, 7, 23, 10, 14];450;98;352
[2021, 7, 7, 23, 10, 41];450;97;353
[2021, 7, 7, 23, 11, 24];450;96;354
[2021, 7, 7, 23, 12, 26];450;95;355
[2021, 7, 7, 23, 14, 1];450;96;354
[2021, 7, 7, 23, 15, 44];450;95;355
[2021, 7, 7, 23, 15, 53];450;94;356
[2021, 7, 7, 23, 16, 11];450;93;357
[2021, 7, 7, 23, 17, 34];450;92;358
[2021, 7, 7, 23, 17, 50];450;91;359
[2021, 7, 7, 23, 19, 26];450;90;360
[2021, 7, 7, 23, 22, 7];450;89;361
[2021, 7, 7, 23, 25, 0];450;88;362
[2021, 7, 7, 23, 25, 25];450;87;363
[2021, 7, 7, 23, 25, 29];450;86;364
[2021, 7, 7, 23, 26, 43];450;85;365
[2021, 7, 7, 23, 27, 12];450;84;366
[2021, 7, 7, 23, 29, 34];450;83;367
[2021, 7, 7, 23, 29, 58];450;84;366
[2021, 7, 7, 23, 30, 32];450;83;367
[2021, 7, 7, 23, 33, 27];450;82;368
[2021, 7, 7, 23, 33, 29];450;81;369
[2021, 7, 7, 23, 35, 57];450;80;370
[2021, 7, 7, 23, 36, 4];450;79;371
[2021, 7, 7, 23, 36, 8];450;78;372
[2021, 7, 7, 23, 36, 31];450;77;373
[2021, 7, 7, 23, 36, 56];450;76;374
[2021, 7, 7, 23, 38, 36];450;75;375
[2021, 7, 7, 23, 38, 46];450;74;376
[2021, 7, 7, 23, 39, 19];450;73;377
[2021, 7, 7, 23, 41, 47];450;72;378
[2021, 7, 7, 23, 41, 54];450;71;379
[2021, 7, 7, 23, 42, 3];450;70;380
[2021, 7, 7, 23, 42, 9];450;69;381
[2021, 7, 7, 23, 42, 21];450;68;382
[2021, 7, 7, 23, 43, 8];450;67;383
[2021, 7, 7, 23, 44, 4];450;66;384
[2021, 7, 7, 23, 45, 44];450;65;385
[2021, 7, 7, 23, 46, 7];450;64;386
[2021, 7, 7, 23, 46, 29];450;63;387
[2021, 7, 7, 23, 46, 36];450;62;388
[2021, 7, 7, 23, 46, 50];450;61;389
[2021, 7, 7, 23, 47, 10];450;60;390
[2021, 7, 7, 23, 47, 28];450;59;391
[2021, 7, 7, 23, 48, 22];450;58;392
[2021, 7, 7, 23, 48, 28];450;59;391
[2021, 7, 7, 23, 48, 58];450;58;392
[2021, 7, 7, 23, 49, 49];450;57;393
[2021, 7, 7, 23, 50, 9];450;56;394
[2021, 7, 7, 23, 50, 14];450;57;393
[2021, 7, 7, 23, 50, 18];450;56;394
[2021, 7, 7, 23, 50, 38];450;55;395
[2021, 7, 7, 23, 50, 47];450;54;396
[2021, 7, 7, 23, 50, 50];450;53;397
[2021, 7, 7, 23, 50, 54];450;54;396
[2021, 7, 7, 23, 51, 7];450;53;397
[2021, 7, 7, 23, 51, 10];450;52;398
[2021, 7, 7, 23, 51, 14];450;51;399
[2021, 7, 7, 23, 52, 17];450;50;400
[2021, 7, 7, 23, 52, 23];450;49;401
[2021, 7, 7, 23, 52, 43];450;48;402
[2021, 7, 7, 23, 53, 8];450;47;403
[2021, 7, 7, 23, 53, 11];450;46;404
[2021, 7, 7, 23, 53, 15];450;45;405
[2021, 7, 7, 23, 53, 33];450;44;406
[2021, 7, 7, 23, 53, 37];450;43;407
[2021, 7, 7, 23, 53, 48];450;42;408
[2021, 7, 7, 23, 54, 29];450;41;409
[2021, 7, 7, 23, 54, 38];450;40;410
[2021, 7, 7, 23, 54, 42];450;39;411
[2021, 7, 7, 1, 58, 28];450;39;411
